-------------------------------------------------------------------------------------------------------
IN Distance, Left, Right, Wall, Shoot, OUT Distance, Left, Right, Wall, Shoot ,ChoiceMode, Error  
-------------------------------------------------------------------------------------------------------

0.972272, 1.000000, 0.000000, 0.000000, 0.000000, 0.108759, 0.958229, 0.008277, 0.017977, 0.010752, SEARCH, 0.000000%  
0.972272, 1.000000, 0.000000, 0.000000, 0.000000, 0.108759, 0.958229, 0.008277, 0.017977, 0.010752, SEARCH, 0.000000%  
0.972272, 1.000000, 0.000000, 0.000000, 0.000000, 0.108759, 0.958229, 0.008277, 0.017977, 0.010752, SEARCH, 0.000000%  
0.972272, 1.000000, 0.000000, 0.000000, 0.000000, 0.108759, 0.958229, 0.008277, 0.017977, 0.010752, SEARCH, 0.000000%  
0.972272, 1.000000, 0.000000, 0.000000, 0.000000, 0.108759, 0.958229, 0.008277, 0.017977, 0.010752, SEARCH, 0.000000%  
0.972272, 1.000000, 0.000000, 0.000000, 0.000000, 0.108759, 0.958229, 0.008277, 0.017977, 0.010752, SEARCH, 0.000000%  
0.972272, 1.000000, 0.000000, 0.000000, 0.000000, 0.108759, 0.958229, 0.008277, 0.017977, 0.010752, SEARCH, 0.000000%  
0.972272, 1.000000, 0.000000, 0.000000, 0.000000, 0.108759, 0.958229, 0.008277, 0.017977, 0.010752, SEARCH, 0.000000%  
0.972272, 1.000000, 0.000000, 0.000000, 0.000000, 0.108759, 0.958229, 0.008277, 0.017977, 0.010752, SEARCH, 0.000000%  
0.972272, 1.000000, 0.000000, 0.000000, 0.000000, 0.108759, 0.958229, 0.008277, 0.017977, 0.010752, SEARCH, 0.000000%  
0.972272, 1.000000, 0.000000, 0.000000, 0.000000, 0.108759, 0.958229, 0.008277, 0.017977, 0.010752, SEARCH, 0.000000%  
0.972272, 1.000000, 0.000000, 0.000000, 0.000000, 0.108759, 0.958229, 0.008277, 0.017977, 0.010752, SEARCH, 0.000000%  
0.972272, 1.000000, 0.000000, 0.000000, 0.000000, 0.108759, 0.958229, 0.008277, 0.017977, 0.010752, SEARCH, 0.000000%  
0.972272, 1.000000, 0.000000, 0.000000, 0.000000, 0.108759, 0.958229, 0.008277, 0.017977, 0.010752, SEARCH, 0.000000%  
0.970065, 1.000000, 0.000000, 0.000000, 0.000000, 0.108433, 0.958007, 0.008220, 0.018017, 0.010703, SEARCH, 0.000000%  
0.961287, 1.000000, 0.000000, 0.000000, 0.000000, 0.107146, 0.957105, 0.007996, 0.018180, 0.010507, SEARCH, 0.000000%  
0.952592, 0.000000, 0.000000, 0.000000, 0.000000, 0.699810, 0.107747, 0.089424, 0.012013, 0.154334, SEARCH, 0.000000%  
0.936505, 0.000000, 0.000000, 0.000000, 0.000000, 0.694061, 0.102916, 0.084980, 0.012281, 0.150294, SEARCH, 0.000000%  
0.920495, 0.000000, 0.000000, 0.000000, 0.000000, 0.688211, 0.098210, 0.080669, 0.012556, 0.146272, SEARCH, 0.000000%  
0.904567, 0.000000, 0.000000, 0.000000, 0.000000, 0.682263, 0.093631, 0.076494, 0.012838, 0.142274, SEARCH, 0.000000%  
